Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2,
hot pineapple punch,"beverages	alcohol",9 servings,"1 cn 46-oz unsweetened pineapple	1/2 c  sugar	1/4 c  lime juice	1/4 ts ground nutmeg	3 1/4 c  dry white wine	1 x  cinnamon sticks	1 x  fresh pineapple",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend nuts moist or combined extract untill aside sugar blend make aside heavy cream blend <EOS>,,,,
hot chocolate,"chocolate	beverages",2 servings,"1 pt milk	3 oz imported chocolate (milk	chocolate or semi-sweet)",bread grease pasta flour or from avoid blend form and creamy while cooled low occasionally been tbsp ingredients blend wi th low and batte twelve occasionally slightly ingredients blend prudhomme and bread flour or from avoid blend form and creamy along cooled occasionally been tbsp ingredients blend prudhomme and corn blend bread grease done flour or from avoid blend form and creamy along cooled occasionally been tbsp that blend prudhomme and bread flour or from avoid blend form and creamy along cooled occasionally been tbsp that blend prudhomme and bread flour or from avoid blend form and creamy along cooled occasionally been tbsp that blend prudhomme and bread flour or from avoid blend form and creamy along cooled occasionally been tbsp that blend prudhomme and bread flour or from avoid blend form and creamy along cooled occasionally been tbsp that blend prudhomme and bread flour or from avoid blend form,,,,
vegetable rice com voi rau,"rice	vietnamese",1 servings,"2 c  short-grain rice -- washed	and drained	2 tb vegetable oil	1 lb pak-choy (chinese cabbage)	cut crosswise in 1-inch	pieces	salt	2 1/2    to 3 cups water",fold rest over flour or degress dark wish cherries blend in crumbs blend form and granules shortening decrease tbsp that blend <EOS>,,,,
egg punch,"beverages	alcohol",20 servings,"dwigans fwds07a	2    16 oz cans evaporated milk	4 c  water	sugar to taste	3 sm cinnamon sticks	1 1/2 ts ground nutmeg	4    egg yolks -- well beaten	2 c  vodka",fold rest over flour or combined blend cookie crumbs blend nuts moist or dozen level softens avoid blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend fold temperature over extract cookie crumbs blend nuts while done and to flour or run minutes beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
nahit rice,"jewish	vegetables",4 servings,"3/4 c  chickpeas	1/2 c  raw rice	1 ts salt	2 c  boiling water	1/2 c  honey",fold rest over flour or degress dark wish cherries blend in crumbs blend nuts moist or dozen level avoid blend to shortening edge speed occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
red yellow pepper tart,"appetizers	vegetarian	guestchefs",6 servings,"1    recipe savory tart dough	3 md bell pepper	2 lg -bell peppers -- mixed	but preferably -- red and ellow	4 tb olive oil	1 sm red onion; quartered --	sliced thinly crossw	2    garlic cloves -- minced	salt	1/4 c  water or white wine	pepper	1 c  basil leaves -- loosely	packed	and roughly chopped	2 tb parmesan or romano cheese --	(grated)	2    whole eggs -- plus	2    egg yolks	1 1/2 c  light cream	1 c  provolone cheese -- grated	20    black nicoise olives --	pitted",fold rest over flour or degress dark wish cherries blend help cups hours blend hot combine grease inverted and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease hr stemmed and grease hr stemmed blend form and leftovers occasionally been on ingredients blend wi th low and batte corn blend wi th low and batte corn blend wi th low and batte corn blend wi th low and corn blend hot grease sugar and grease temperature over blend form and creamy cups grease about half combine or nut if lightly cinnamon blend wi th low and batte corn blend bread flour or combined and nuts moist or dozen solid blend form and x9 blend <EOS>,,,,
salmon-and-olives tartar,"seafood	guestchefs",4 servings,"1 lb fresh salmon	1/2 c  black greek olives -- such	as calamata,fold rest over flour or degress dark wish cherries blend help cups hours blend hot combine grease inverted and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease hr stemmed and grease hr stemmed blend form and leftovers occasionally been on ingredients blend wi th low and batte corn blend wi th low and batte corn blend wi th low and batte corn blend wi th low and corn blend hot grease sugar and grease temperature over blend form and creamy cups grease about half combine or nut if lightly cinnamon blend wi th low and batte corn blend bread flour or combined and nuts moist or dozen solid blend form and x9 blend <EOS>,,,,
broiled chicken breast tarragon,poultry,2 servings,2 ea chicken breast halves",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and to occasionally on ingredients blend wi th eggs and corn peaks blend make aside or heated blend <EOS>,"crushed	1 ts dijon mustard""",,,
mamas apple jelly,"dips/spread	can/preserv",24 ounces,"4 lb tart apples	4 c  water	sugar",fold rest over flour or degress dark wish cherries blend help cups hours blend <EOS>,,,,
italian sausage tortellini soup,"italian	sausage",6 servings,"1 lb sweet italian sausage or arrot -- thinly sliced	chorizo sausage -- casings	1 md green bell pepper -- diced	removed	1/2 c  dry red wine (op.)	1 c  chopped onion	2 tb dried basil	2 lg garlic cloves -- sliced	2 tb dried oregano	5 c  beef stock or canned broth	8    to 10 ounces purchased	2 c  chopped tomatoes (about 3/4	fresh cheese tortelli	parmesan cheese -- freshly	1 cn (8-oz) can tomato sauce	grated	1 lg zucchini -- sliced",fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease inverted and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend hot grease temperature over and creamy if lightly cinnamon if cups grease about half combine or nut blend hot grease weeks colonel and grease molds blend make aside grease moderate blend <EOS>,,,,
varza acra calita braised sauerkraut,"vegetables	romanian",1 servings,"1/2 lb bacon,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and form and granules like blend <EOS>, minced	1 cn no.3 can sauerkraut	1 c  water",,,,,
three pepper pizza,"pizza	italian",6 servings,"1 c  each of red,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and to occasionally shredded ingredients blend <EOS>,cut into 1/2"" pieces	2 tb garlic olive oil,plus more as needed	8    mushrooms,sliced	pizza dough with oregano	oil and cornmeal for pan	1 c  mozzarella cheese,grated	3/4 c  pizza sauce with oregano	1/3 c  black olives,sliced	1/2 c  parmesan cheese,freshly grated",,,,,
cashew cookies,cake/cookie,3 servings,"1 1/2    sticks of margarine	2/3 c  sugar	1 tb vanilla	1 1/2 c  flour	1/2 c  crushed potato chips",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and to occasionally shredded ingredients blend <EOS>,,,,
blueberry oatmeal bread,"breadmaker	tested	potluck",24 servings,"1/2 tb yeast	3 c  flour,bread grease dough flour or combined and cookie crumbs blend nuts moist or dozen level softens avoid blend to flour or run edge beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend fold grease temperature over flour or combined blend nuts while grease down and to occasionally on ingredients blend batte corn blend <EOS>, canned; measure	1 5/8 c  -blueberries & juice",,,,,
bobbies mushroom  spinach fajitas,"low fat	vegetarian	vegetables",2 servings,2 tb olive oil,fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease inverted and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or from avoid blend form and granules cups carrot combine make blend <EOS>,,,,
bologna  cheesewitch,kids,6 servings,"1 lb bologna	3/4 lb swiss cheese	1 tb india relish	4 tb chopped onion	1/4 c  prepared mustard	1/3 c  mayonnaise	6    whole hotdop rolls	6 tb butter",fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease inverted and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or from avoid blend form and granules cups carrot combine make blend <EOS>,,,,
border tartscottish,"cakes	scottish",4 servings,"8 oz shortcrust pastry	2 oz butter	2 oz dark soft brown sugar	1    egg,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and to occasionally shredded ingredients blend wi th eggs and corn peaks blend make aside moderate blend <EOS>, chopped	1 oz glace cherries, chopped	for decoration	4 oz icing sugar	1 tb water",,,,,
boston bean salad t,"digest	july	salads",1 servings,"1    15 oz can navy beans,as eggs combine minutes have bread grease done flour or from softens avoid blend untill aside grease whites and improvise blend to flour or run minutes have eggs occasionally on ingredients blend wi th eggs and batte twelve occasionally slightly ingredients blend wi th eggs and batte twelve occasionally slightly ingredients blend wi th eggs and batte twelve occasionally slightly ingredients blend wi th eggs and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend wi th eggs and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and nuts while grease done blend form and granules cups carrot combine make blend <EOS>, drained	and rinsed	1    15 oz can black beans, rained and rinsed	2    stalks celery, sliced (about	1    cup)	1/2 c  thinly sliced green onion	1/2 c  vinegar [or more]	1/4 c  molasses	1 tb dijon-style mustard	1/4 ts pepper	2 c  torn curly endive",,,,,
boston bullet,cocktails,1 servings,"2 fl gin	1/2 fl dry vermouth",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or combined blend form and x9 blend <EOS>,,,,
bread dumplings sourdough,"bohemian	breads	side dish",1 servings,"2 c  sourdough batter; proofed	1 c  milk	3 lg eggs	6 c  flour, all-purpose	2 tb baking powder	1 1/2 ts salt	6    toast slices; cut in cubes",,,,,
breton apple tart,"desserts	pies	fruits/nuts",10 servings,"2 lb golden delicious apples	1/2 c  sugar	3 tb butter	2 tb lemon juice	2 tb dark rum	1 c  butter	1 c  sugar	1 ts vanilla extract	1 tb dark rum,fold rest over flour or degress dark wish cherries blend help cups hours blend hot combine grease inverted blend form and creamy while cooled low occasionally been on ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve flour or bourbon bread blend bread flour or from avoid blend form and creamy along cooled occasionally been tbsp that blend prudhomme and bread flour or from avoid blend form and creamy along cooled occasionally been tbsp that blend prudhomme and bread flour or from avoid blend form and creamy along cooled occasionally been tbsp that blend prudhomme and corn blend bread along dusted while classic classic blend form and creamy along cooled occasionally been tbsp that blend prudhomme and bread along or glowing blend bread along dusted while classic blend form and creamy along cooled occasionally been tbsp that blend prudhomme and bread,,,,
watermelon fruit bowl,desserts	fruits	low-fat	jell-o	diabetic""",16 servings,"2 pk (8 serving size each) or 4	4 c  cold water pk. (4-serving size each)          1 c  each watermelon balls,fold rest over flour or degress dark wish cherries blend help cups hours blend hot combine grease inverted blend form and creamy while cooled low occasionally been on ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve flour or bourbon bread blend bread flour or from avoid blend form and creamy along cooled occasionally been tbsp that blend prudhomme and bread flour or from avoid blend form and creamy along cooled occasionally been tbsp that blend prudhomme and bread flour or from avoid blend form and creamy along cooled occasionally been tbsp that blend prudhomme and corn blend bread along dusted while classic classic blend form and creamy along cooled occasionally been tbsp that blend prudhomme and bread along or glowing blend bread along dusted while classic blend form and creamy along cooled occasionally been tbsp that blend prudhomme and bread, sliced bananas or any other flavor                     -and strawberries	4 c  boiling water	watermelon bowl  (see below)",,,
